address,amount
emoney10xv3mmp66rf95w0js8mc7ckm6dlwgcsm2yr7cx,20000
emoney1293pqwtzu67zp8txuya4yts03ccw5kgfz83kmf,10000
emoney12xh45dck7d9q2hs97x4qfq3e7p20y8ffkqamcy,200000
emoney13gjhk3pmmusvdrsgqwdc74fcafdmvex0sdhqs0,15000
emoney1h0kgdylpm92khtz0tujl9dcf88c4rhf2k9d4mx,20000
emoney1jqpl37rn8xv63apsw47u05evp9g9p34gepka68,10000
emoney1kjhdx3nkh6krdhryvjzkq33xwh6wsyy7ghnylq,10000
emoney1kx4ptpctvqsyaeqnlsh8uefc5ewwam9h894r98,20000
emoney1qjk97vct5gs995xmf9pk0zxt9ptpdyzp3pglyp,12000
emoney1ug6gutaanays5x2yglxwdth205n4auu6ejgxx9,10000
emoney1v5hrqlv8dqgzvy0pwzqzg0gxy899rm4ky50x5g,60000
